時間 (UTC+09:00),クリック数,表示回数,CTR,掲載順位
2026-09-11T02:00:00,0,38,0%,5.7
2026-09-11T03:00:00,1,40,2.5%,7.2
2026-09-11T04:00:00,0,47,0%,14.9
2026-09-11T05:00:00,0,18,0%,8.2
2026-09-11T06:00:00,0,31,0%,6
2026-09-11T07:00:00,0,64,0%,10.7
2026-09-11T08:00:00,0,66,0%,6.5
2026-09-11T09:00:00,3,91,3.3%,6.9
2026-09-11T10:00:00,4,125,3.2%,5.9
2026-09-11T11:00:00,2,131,1.53%,6
2026-09-11T12:00:00,5,105,4.76%,6.7
2026-09-11T13:00:00,6,112,5.36%,8.1
2026-09-11T14:00:00,1,116,0.86%,7
2026-09-11T15:00:00,5,150,3.33%,8.8
2026-09-11T16:00:00,1,124,0.81%,6.8
2026-09-11T17:00:00,4,125,3.2%,7.2
2026-09-11T18:00:00,4,112,3.57%,6.9
2026-09-11T19:00:00,3,92,3.26%,6.2
2026-09-11T20:00:00,6,79,7.59%,6.1
2026-09-11T21:00:00,5,107,4.67%,8.1
2026-09-11T22:00:00,4,289,1.38%,5.9
2026-09-11T23:00:00,1,50,2%,7.6
2026-09-12T00:00:00,1,15,6.67%,5.5
2026-09-12T01:00:00,0,2,0%,7
