国,クリック数,表示回数,CTR,掲載順位
日本,36,1466,2.46%,8.04
韓国,1,3,33.33%,5.67
米国,0,27,0%,6.78
イギリス,0,6,0%,6.17
台湾,0,5,0%,5.8
香港,0,5,0%,6
タイ,0,4,0%,6.25
マレーシア,0,3,0%,9.67
ノルウェー,0,2,0%,10
オーストラリア,0,2,0%,10.5
チェキア,0,1,0%,6
アルバ,0,1,0%,7
ブラジル,0,1,0%,7
シンガポール,0,1,0%,7
メキシコ,0,1,0%,8
