時間 (UTC+09:00),クリック数,表示回数,CTR,掲載順位
2026-09-04T21:00:00,3,110,2.73%,6.9
2026-09-04T22:00:00,3,101,2.97%,6.7
2026-09-04T23:00:00,5,105,4.76%,6.3
2026-09-05T00:00:00,2,88,2.27%,6.4
2026-09-05T01:00:00,0,74,0%,14.3
2026-09-05T02:00:00,0,27,0%,10.1
2026-09-05T03:00:00,0,48,0%,13.4
2026-09-05T04:00:00,0,16,0%,7.4
2026-09-05T05:00:00,2,19,10.53%,7.3
2026-09-05T06:00:00,0,26,0%,7.2
2026-09-05T07:00:00,0,33,0%,8.2
2026-09-05T08:00:00,1,50,2%,6.7
2026-09-05T09:00:00,0,65,0%,6.9
2026-09-05T10:00:00,4,70,5.71%,7.5
2026-09-05T11:00:00,3,68,4.41%,8.1
2026-09-05T12:00:00,0,139,0%,10.7
2026-09-05T13:00:00,1,93,1.08%,7.3
2026-09-05T14:00:00,0,40,0%,6.7
2026-09-05T15:00:00,0,42,0%,7.6
2026-09-05T16:00:00,4,102,3.92%,7.1
2026-09-05T17:00:00,5,98,5.1%,6.9
2026-09-05T18:00:00,2,77,2.6%,7.2
2026-09-05T19:00:00,2,33,6.06%,7.9
2026-09-05T20:00:00,0,4,0%,7
