国,クリック数,表示回数,CTR,掲載順位
日本,51,2123,2.4%,7.51
米国,0,24,0%,5.04
台湾,0,7,0%,4.14
オーストラリア,0,7,0%,6.43
韓国,0,6,0%,4.83
フランス,0,5,0%,6.4
マレーシア,0,4,0%,7.25
インドネシア,0,4,0%,22.75
タイ,0,3,0%,6.33
イギリス,0,2,0%,1
フィリピン,0,2,0%,8.5
香港,0,1,0%,2
シンガポール,0,1,0%,2
ベトナム,0,1,0%,4
カナダ,0,1,0%,8
スペイン,0,1,0%,10
スウェーデン,0,1,0%,43
リトアニア,0,1,0%,88
