時間 (UTC+09:00),クリック数,表示回数,CTR,掲載順位
2026-08-31T07:00:00,0,43,0%,7.4
2026-08-31T08:00:00,3,73,4.11%,7.5
2026-08-31T09:00:00,1,87,1.15%,6.6
2026-08-31T10:00:00,5,108,4.63%,5.5
2026-08-31T11:00:00,5,104,4.81%,5.8
2026-08-31T12:00:00,0,88,0%,7.1
2026-08-31T13:00:00,4,103,3.88%,6.7
2026-08-31T14:00:00,4,105,3.81%,6.7
2026-08-31T15:00:00,1,108,0.93%,6.9
2026-08-31T16:00:00,3,103,2.91%,5.9
2026-08-31T17:00:00,3,106,2.83%,6.5
2026-08-31T18:00:00,3,195,1.54%,8.1
2026-08-31T19:00:00,4,152,2.63%,7
2026-08-31T20:00:00,3,186,1.61%,7.6
2026-08-31T21:00:00,2,161,1.24%,8.6
2026-08-31T22:00:00,1,137,0.73%,8
2026-08-31T23:00:00,2,111,1.8%,7.4
2026-09-01T00:00:00,3,83,3.61%,8.9
2026-09-01T01:00:00,4,68,5.88%,12
2026-09-01T02:00:00,0,66,0%,11
2026-09-01T03:00:00,0,4,0%,16
2026-09-01T04:00:00,0,2,0%,17
2026-09-01T05:00:00,0,1,0%,46
2026-09-01T06:00:00,0,0,0%,0
