時間 (UTC+09:00),クリック数,表示回数,CTR,掲載順位
2026-09-06T07:00:00,0,33,0%,8.9
2026-09-06T08:00:00,1,55,1.82%,7.9
2026-09-06T09:00:00,0,52,0%,7.8
2026-09-06T10:00:00,2,81,2.47%,8.8
2026-09-06T11:00:00,2,77,2.6%,6.9
2026-09-06T12:00:00,4,81,4.94%,9.2
2026-09-06T13:00:00,5,66,7.58%,7.1
2026-09-06T14:00:00,4,90,4.44%,6.4
2026-09-06T15:00:00,5,81,6.17%,6.4
2026-09-06T16:00:00,0,75,0%,6.6
2026-09-06T17:00:00,2,69,2.9%,7.1
2026-09-06T18:00:00,2,83,2.41%,6.9
2026-09-06T19:00:00,4,94,4.26%,6.3
2026-09-06T20:00:00,2,109,1.83%,8.3
2026-09-06T21:00:00,3,95,3.16%,7
2026-09-06T22:00:00,8,133,6.02%,7.2
2026-09-06T23:00:00,5,89,5.62%,7
2026-09-07T00:00:00,2,86,2.33%,11.3
2026-09-07T01:00:00,3,65,4.62%,11.7
2026-09-07T02:00:00,0,23,0%,13.5
2026-09-07T03:00:00,0,35,0%,19.9
2026-09-07T04:00:00,0,3,0%,6.7
2026-09-07T05:00:00,0,1,0%,6
2026-09-07T06:00:00,0,0,0%,0
