国,クリック数,表示回数,CTR,掲載順位
日本,54,1545,3.5%,8.06
米国,0,22,0%,7.77
香港,0,5,0%,9.4
中国,0,3,0%,8.67
韓国,0,3,0%,10.33
ブラジル,0,2,0%,1.5
シンガポール,0,2,0%,8
イギリス,0,2,0%,8.5
マレーシア,0,2,0%,8.5
コロンビア,0,1,0%,1
エクアドル,0,1,0%,1
フランス,0,1,0%,1
タイ,0,1,0%,5
デンマーク,0,1,0%,6
イタリア,0,1,0%,6
スペイン,0,1,0%,9
フィリピン,0,1,0%,9
スイス連邦,0,1,0%,11
ネパール,0,1,0%,11
ペルー,0,1,0%,20
スウェーデン,0,1,0%,32
