国,クリック数,表示回数,CTR,掲載順位
日本,47,1769,2.66%,7.26
韓国,1,4,25%,6.25
米国,0,44,0%,5.61
タイ,0,5,0%,6.6
台湾,0,4,0%,5.25
ベトナム,0,3,0%,5.33
イギリス,0,2,0%,4
グアム,0,2,0%,7
中国,0,2,0%,7.5
マレーシア,0,2,0%,8.5
インドネシア,0,2,0%,13
ブラジル,0,2,0%,13.5
スペイン,0,2,0%,15.5
スウェーデン,0,1,0%,2
ハンガリー,0,1,0%,6
インド,0,1,0%,6
アルバ,0,1,0%,7
ドイツ,0,1,0%,9
香港,0,1,0%,9
カザフスタン,0,1,0%,10
ルワンダ,0,1,0%,10
ノルウェー,0,1,0%,12
