時間 (UTC+09:00),クリック数,表示回数,CTR,掲載順位
2026-09-13T03:00:00,1,25,4%,6.2
2026-09-13T04:00:00,0,19,0%,5.3
2026-09-13T05:00:00,0,16,0%,6.6
2026-09-13T06:00:00,0,29,0%,6
2026-09-13T07:00:00,0,47,0%,6.1
2026-09-13T08:00:00,5,122,4.1%,6.5
2026-09-13T09:00:00,3,100,3%,9.2
2026-09-13T10:00:00,3,96,3.12%,7.3
2026-09-13T11:00:00,4,108,3.7%,7.2
2026-09-13T12:00:00,5,117,4.27%,7.1
2026-09-13T13:00:00,4,124,3.23%,7.8
2026-09-13T14:00:00,4,94,4.26%,6.4
2026-09-13T15:00:00,0,57,0%,7.2
2026-09-13T16:00:00,0,99,0%,7
2026-09-13T17:00:00,0,46,0%,6.2
2026-09-13T18:00:00,0,36,0%,6.6
2026-09-13T19:00:00,2,17,11.76%,8.4
2026-09-13T20:00:00,0,8,0%,6.9
2026-09-13T21:00:00,0,13,0%,6.2
2026-09-13T22:00:00,1,61,1.64%,6.6
2026-09-13T23:00:00,0,35,0%,9.1
2026-09-14T00:00:00,0,28,0%,15.1
2026-09-14T01:00:00,0,0,0%,0
2026-09-14T02:00:00,0,1,0%,7
