国,クリック数,表示回数,CTR,掲載順位
日本,32,1229,2.6%,7.33
米国,0,50,0%,5.62
イギリス,0,3,0%,9.67
オランダ,0,2,0%,2
タイ,0,2,0%,6
台湾,0,2,0%,6
フランス,0,1,0%,1
アラブ首長国連邦,0,1,0%,2
メキシコ,0,1,0%,3
ブラジル,0,1,0%,4
香港,0,1,0%,4
ミャンマー（ビルマ）,0,1,0%,7
カナダ,0,1,0%,9
ポーランド,0,1,0%,20
ロシア,0,1,0%,25
ポルトガル,0,1,0%,42
