時間 (UTC+09:00),クリック数,表示回数,CTR,掲載順位
2026-09-01T19:00:00,5,95,5.26%,7.1
2026-09-01T20:00:00,3,143,2.1%,11.5
2026-09-01T21:00:00,6,149,4.03%,8.3
2026-09-01T22:00:00,4,124,3.23%,7.1
2026-09-01T23:00:00,5,143,3.5%,8
2026-09-02T00:00:00,3,76,3.95%,9.3
2026-09-02T01:00:00,0,58,0%,11.1
2026-09-02T02:00:00,2,59,3.39%,11.5
2026-09-02T03:00:00,2,32,6.25%,11.4
2026-09-02T04:00:00,0,20,0%,7.8
2026-09-02T05:00:00,1,17,5.88%,6.2
2026-09-02T06:00:00,1,15,6.67%,8.2
2026-09-02T07:00:00,0,48,0%,7.4
2026-09-02T08:00:00,0,81,0%,8.9
2026-09-02T09:00:00,0,93,0%,6.5
2026-09-02T10:00:00,0,93,0%,6.3
2026-09-02T11:00:00,3,108,2.78%,5.3
2026-09-02T12:00:00,3,106,2.83%,7
2026-09-02T13:00:00,5,125,4%,6.2
2026-09-02T14:00:00,0,86,0%,7.4
2026-09-02T15:00:00,1,43,2.33%,5.8
2026-09-02T16:00:00,2,112,1.79%,6.8
2026-09-02T17:00:00,2,64,3.12%,7.9
2026-09-02T18:00:00,0,13,0%,7.5
