国,クリック数,表示回数,CTR,掲載順位
日本,48,1782,2.69%,7.94
米国,0,63,0%,5.37
韓国,0,11,0%,5.91
香港,0,4,0%,5.75
台湾,0,4,0%,6.25
マレーシア,0,4,0%,6.5
シンガポール,0,4,0%,7.75
ドイツ,0,3,0%,8
タイ,0,3,0%,11.67
イギリス,0,3,0%,12
スペイン,0,3,0%,16.67
スイス連邦,0,2,0%,3
カナダ,0,2,0%,7
中国,0,2,0%,8.5
オーストラリア,0,1,0%,1
ブラジル,0,1,0%,1
フランス,0,1,0%,5
オーストリア,0,1,0%,6
フィリピン,0,1,0%,6
ポーランド,0,1,0%,6
ニュージーランド,0,1,0%,8
ロシア,0,1,0%,9
ベルギー,0,1,0%,10
インドネシア,0,1,0%,11
インド,0,1,0%,17
南アフリカ,0,1,0%,17
イタリア,0,1,0%,22
