時間 (UTC+09:00),クリック数,表示回数,CTR,掲載順位
2026-09-03T03:00:00,0,18,0%,5.8
2026-09-03T04:00:00,0,27,0%,5.7
2026-09-03T05:00:00,1,16,6.25%,7.2
2026-09-03T06:00:00,1,33,3.03%,6.9
2026-09-03T07:00:00,1,43,2.33%,7.9
2026-09-03T08:00:00,1,59,1.69%,7.4
2026-09-03T09:00:00,1,102,0.98%,6.3
2026-09-03T10:00:00,2,83,2.41%,6.3
2026-09-03T11:00:00,2,151,1.32%,10
2026-09-03T12:00:00,7,114,6.14%,6.6
2026-09-03T13:00:00,1,109,0.92%,7
2026-09-03T14:00:00,2,127,1.57%,7.2
2026-09-03T15:00:00,3,106,2.83%,6.7
2026-09-03T16:00:00,1,130,0.77%,6.4
2026-09-03T17:00:00,2,95,2.11%,6.7
2026-09-03T18:00:00,4,96,4.17%,7.4
2026-09-03T19:00:00,4,119,3.36%,6.7
2026-09-03T20:00:00,4,125,3.2%,7.3
2026-09-03T21:00:00,4,138,2.9%,7.7
2026-09-03T22:00:00,3,112,2.68%,8
2026-09-03T23:00:00,4,110,3.64%,7.1
2026-09-04T00:00:00,3,62,4.84%,8.1
2026-09-04T01:00:00,0,13,0%,8.6
2026-09-04T02:00:00,0,1,0%,8
