国,クリック数,表示回数,CTR,掲載順位
日本,51,1919,2.66%,7.33
米国,0,32,0%,5.47
香港,0,6,0%,2.67
オーストラリア,0,5,0%,6
韓国,0,5,0%,9.4
台湾,0,3,0%,3.67
イギリス,0,3,0%,7.33
ニュージーランド,0,3,0%,8.33
インドネシア,0,1,0%,1
シンガポール,0,1,0%,1
オーストリア,0,1,0%,2
中国,0,1,0%,3
ポーランド,0,1,0%,4
フランス,0,1,0%,7
ペルー,0,1,0%,7
ドイツ,0,1,0%,8
メキシコ,0,1,0%,8
パラグアイ,0,1,0%,8
ブラジル,0,1,0%,9
ハンガリー,0,1,0%,10
イタリア,0,1,0%,11
