時間 (UTC+09:00),クリック数,表示回数,CTR,掲載順位
2026-09-10T06:00:00,0,18,0%,6.5
2026-09-10T07:00:00,1,52,1.92%,6.5
2026-09-10T08:00:00,1,72,1.39%,6.8
2026-09-10T09:00:00,1,122,0.82%,6.1
2026-09-10T10:00:00,4,105,3.81%,6.2
2026-09-10T11:00:00,2,142,1.41%,7.8
2026-09-10T12:00:00,1,116,0.86%,7
2026-09-10T13:00:00,1,137,0.73%,6.8
2026-09-10T14:00:00,3,128,2.34%,6.2
2026-09-10T15:00:00,0,103,0%,5.9
2026-09-10T16:00:00,4,134,2.99%,5.3
2026-09-10T17:00:00,3,97,3.09%,6.2
2026-09-10T18:00:00,4,88,4.55%,6.1
2026-09-10T19:00:00,3,96,3.12%,6
2026-09-10T20:00:00,2,108,1.85%,7
2026-09-10T21:00:00,3,129,2.33%,8
2026-09-10T22:00:00,4,102,3.92%,8.2
2026-09-10T23:00:00,2,111,1.8%,7.8
2026-09-11T00:00:00,1,57,1.75%,6.1
2026-09-11T01:00:00,0,26,0%,6.9
2026-09-11T02:00:00,0,11,0%,5.1
2026-09-11T03:00:00,0,4,0%,5.5
2026-09-11T04:00:00,0,0,0%,0
2026-09-11T05:00:00,0,0,0%,0
